WordId,TestId,PartOfSpeech,Description,Example,Source
244,0,verb,contain or include.,"The rogue wave quickly subsumed the pier and boardwalk, destroying everything in its path.",Magoosh
244,0,verb,consider (an instance of something) as part of a general rule or principle.,"Don Quixote of La Mancha subsumes all other modern novels, demonstrating modern literary devices. and predating even the idea of a postmodern, metanarrative.",Magoosh
245,0,adjective,in opposition to a civil authority or government.,"The ruling political party has begun a campaign to shut down subversive websites that it deems as a threat to ""national safety."".",Magoosh
246,0,adjective,showing a brooding ill humor.,"Herbert took board games too seriously, often appearing sullen after losing.",Magoosh
247,0,adjective,serving no useful purpose.,"How can we hope to stay open if we don't eliminate all superfluous spending, like catered meetings and free acupucture Tuesday?.",Magoosh
248,0,verb,take the place or move into the position of.,"For many, a cell phone has supplanted a traditional phone; in fact, most 20-somethings don't even have a traditional phone anymore.",Magoosh
249,0,adjective,habitually reserved and uncommunicative.,"While the CEO enthusiastically shares his plans and agenda with all who will listen, the CFO is far more taciturn, rarely revealing his perspective.",Magoosh
250,0,adjective,being essentially equal to something.,"In many situations, remaining silent is tantamount to admitting guilt, so speak to prove your innocence.",Magoosh
251,0,noun,the trait of avoiding excesses.,Welles wasn't known for his temperance--he usually ate enough for two and drank enough for three.,Magoosh
252,0,adjective,moderated in effect.,The wide-eyed optimism of her youth was now tempered after she had worked many years in the criminal justice system.,Magoosh
253,0,adjective,stubbornly unyielding.,Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.,Magoosh
254,0,adjective,timid by nature or revealing fear and nervousness.,"Since this was her first time debating on stage and before an audience, Di's voice was timorous and quiet for the first 10 minutes.",Magoosh
255,0,noun,inactivity resulting from lethargy and lack of vigor or energy.,"After work, I was expecting my colleagues to be enthusiastic about the outing, but I found them in a state of complete torpor.",Magoosh
256,0,adjective,marked by repeated turns and bends; not straightforward.,"Because the logic behind McMahon's side of the debate was so tortuous, his audience came out either completely confused or, worse, feeling they'd been tricked.",Magoosh
257,0,adjective,readily reacting to suggestions and influences; easily managed (controlled or taught or molded).,"Compared to middle school students, who have an untamed wildness about them, high school students are somewhat more tractable.",Magoosh
258,0,adjective,lasting a very short time.,The unpredictable and transient nature of deja vu makes it a very difficult phenomenon to study properly.,Magoosh
259,0,noun,an absurd presentation of something; a mockery.,"What I expected to be an intelligent, nuanced historical documentary turned out to be a poorly-produced travesty of the form.",Magoosh
260,0,adjective,tending to betray.,"Even though Jesse James was an outlaw, his killer, Robert Ford, is remembered more for his treacherous actions than for eliminating a criminal and murder.",Magoosh
260,0,adjective,dangerously unstable and unpredictable.,"The bridge built from twine and vine is treacherous to walk across, and so I think I will stay put right here.",Magoosh
261,0,adjective,repeated too often; overfamiliar through overuse.,Many style guides recommend not using idioms in writing because these trite expressions are uninteresting and show a lack of imagination on the part of the writer.,Magoosh
262,0,verb,reduce the length of something.,The soccer game was truncated when the monsoon rain began to fall.,Magoosh
263,0,adjective,to weaken (usually paired with an abstract term).,The student undermined the teacher's authority by questioning the teacher's judgment on numerous occasions.,Magoosh
264,0,verb,give extra weight to (a communication).,"While the hiking instructor agreed that carrying a first aid kit could be a good idea under certain circumstances, he underscored the importance of carrying enough water.",Magoosh
265,0,adjective,admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion.,"The President's first statement on the subject was vague and open to competing interpretations, so when he spoke to Congress about the same subject later, he was cafeful to make his position completely unequivocal.",Magoosh
266,0,adjective,without scruples or principles.,"In the courtroom, the lawyer was unscrupulous, using every manner of deceit and manipulation to secure a victory for himself.",Magoosh
267,0,verb,to reproach; to scold.,"Bob took a risk walking into the ""Students Barbershop""--in the end he had to upbraid the apparently drunk barber for giving him an uneven bowl cut.",Magoosh
268,0,verb,be undecided about something; waver between conflicting positions or courses of action.,"Some students vacillate between schools when deciding which to attend, while others focus only on one school. This word has other definitions but this is the most important one for the GRE.",Magoosh
269,0,adjective,marked by extreme intensity of emotions or convictions.,"While the other employees responded to the bad news in a measured way, Andrew responded in a vehement manner, tipping over his desk and shouting at the top of his lungs.",Magoosh
270,0,noun,the condition of being susceptible to bribes or corruption.,"Even some of the most sacrosanct sporting events are not immune to venality, as many of the officials have received substantial bribes to make biased calls.",Magoosh
271,0,verb,to respect deeply.,"The professor, despite his soporific lectures, was venerated amongst his colleagues, publishing more papers yearly than all of his peers combined.",Magoosh
272,0,adjective,truthful.,"While we elect our leaders in the hope that every word they speak will be veracious, history has shown that such a hope is naive.",Magoosh
273,0,verb,spread negative information about.,"Todd was noble after the divorce, choosing to say only complimentary things about Barbara, but Barbara did not hesitate to vilify Todd.",Magoosh
274,0,adjective,conspicuously and offensively loud; given to vehement outcry.,"In giving Marcia a particular vociferous response, Paul caused people at every other table in the restaurant to turn around an look at them angrily.",Magoosh
275,0,noun,the quality of talking or writing easily and continuously.,The professor's volubility knows no bounds; he could talk through a hurricane and elaborate a point from one St. Patrick's Day to the next.,Magoosh
276,0,adjective,lacking.,"She did not think her vocabulary was wanting, yet there were so many words that inevitably she found a few she didn't know.",Magoosh
277,0,adjective,charming in a childlike or naive way.,"She was winsome by nature, and many people were drawn to this free and playful spirit. Basic Words.",Magoosh
278,0,adjective,open and honest.,"The mayor, despite his avuncular face plastered about the city, was hardly aboveboard -- some concluded that it was his ingratiating smile that allowed him to engage in corrupt behavior and get away with it.",Magoosh
279,0,adjective,extremely bad.,Coach Ramsey took his newest player off the field after watching a few painful minutes of her abysmal performance.,Magoosh
280,0,noun,the highest point of achievement.,"The new Cessna airplanes will be the acme of comfort, offering reclining seats and ample legroom.",Magoosh
281,0,verb,"speak, plead, or argue in favor of.","While the senator privately approved of gay marriage, he was unwilling to advocate for the cause in a public venue. This word has other definitions but this is the most important one for the GRE.",Magoosh
281,0,noun,a person who pleads for a cause or propounds an idea.,Martin Luther King Jr. was a tireless advocate for the rights of African-Americans in the United States.Â This word has other definitions but this is the most important one for the GRE.,Magoosh
282,0,adjective,likeable; easy to talk to.,"For all his surface affability, Marco was remarkably glum when he wasn't around other people.",Magoosh
283,0,adjective,wealthy.,"The center of the city had sadly become a pit of penury, while, only five miles away, multi-million dollar homes spoke of affluence.",Magoosh
284,0,noun,the quality of unselfish concern for the welfare of others.,"Albert Schweitzer spent most of his life doing missionary work as a doctor in Africa, seeking no reward, apparently motivated only by altruism.",Magoosh
285,0,adjective,friendly.,Amy's name was very apt: she was so amiable that she was twice voted class president.,Magoosh
286,0,adverb,more than is adequate.,The boat was amply supplied for its year at sea--no man would go hungry or thirst.,Magoosh
287,0,adverb,in a frenzied or uncontrolled state.,"Wherever the bowl haircut teen-idol went, his legions of screaming fans ran through the streets amuck, hoping for a glance at his boyish face.",Magoosh
288,0,adjective,similar in some respects but otherwise different.,"In many ways, the Internet's transformative effect on society has been analogous to that of the printing press.",Magoosh
289,0,noun,intense hostility.,The governor's animosity toward his rival was only inflamed when the latter spread false lies regarding the governor's first term.,Magoosh
290,0,verb,precede in time.,Harry was so unknowledgable that he was unaware the Egyptian pharaohs antedated the American Revolution.,Magoosh
291,0,adjective,old-fashioned; belonging to an earlier period in time.,"Aunt Betty had antiquated notions about marriage, believing that a man should court a woman for at least a year before receiving a kiss.",Magoosh
292,0,noun,the highest point.,The Ivy League is considered the apex of the secondary education system.,Magoosh
293,0,noun,a short instructive saying about a general truth.,"Nietzsche was known for using aphorisms, sometimes encapsulating a complex philosophical thought in a mere sentence.",Magoosh
294,0,adjective,large enough to be noticed (usu.,refers to an amount). There is an appreciable difference between those who say they can get the job done and those who actually get the job done.,Magoosh
295,0,noun,fearful expectation.,"Test day can be one of pure apprehension, as many students worry about their test scores.",Magoosh
296,0,adjective,so old as to appear to belong to a different period.,"Hoping to sound intelligent, Mary spoke in archaic English that was right out of Jane Austen's Pride and Prejudice--needless to say, she didn't have many friends.",Magoosh
297,0,noun,the state that exists when one person or group has power over another.,The ascendancy of the Carlsbad water polo team is clear--they have a decade of championships behind them.,Magoosh
298,0,verb,attribute or credit to.,"History ascribes The Odyssey and The Illiad to Homer, but scholars now debate whether he was a. historical figure or a fictitious name.",Magoosh
299,0,verb,attack in speech or writing.,"In the weekly paper, the editor assailed the governor for wasting hundreds of thousands of dollars in public projects that quickly failed.",Magoosh
300,0,verb,make something intense less severe.,Her fear that the new college would be filled with unknown faces was assuaged when she recognized her childhood friend standing in line.,Magoosh
301,0,verb,enlarge or increase; improve.,"Ideally, the restaurant's augmented menu will expand its clientele and increase its profits.",Magoosh
302,0,adverb,In an autonomous or self-governing manner.,Many of the factory workers are worried about being replaced by machines and computers that will work completely autonomously.,Magoosh
303,0,noun,greed (one of the seven deadly sins).,"The Spanish conquistadors were known for their avarice, plundering Incan land and stealing Incan gold.",Magoosh
304,0,verb,turn away.,"Afraid to see the aftermath of the car crash, I averted my eyes as we drove by.",Magoosh
304,0,verb,ward off or prevent.,"The struggling videogame company put all of its finances into one final, desperate project to avert bankrupcy.",Magoosh
305,0,adjective,marked by active interest and enthusiasm.,"Martin is an avid birdwatcher, often taking long hikes into remote mountains to see some rare eagle.",Magoosh
306,0,verb,to pester.,"Badgered by his parents to find a job, the 30-year-old loafer instead joined a gang of itinerant musicians. This word has other definitions but this is the most important one for the GRE.",Magoosh
307,0,verb,refuse to comply.,"The students were willing to clean up the broken glass, but when the teacher asked them to mop the entire floor, they balked, citing reasons why they needed to leave.",Magoosh
308,0,verb,"expel from a community, residence, or location; drive away The most difficult part of the fast was banishing thoughts of food.",This word has other definitions but this is the most important one for the GRE,Magoosh
309,0,adjective,blissfully happy.,"Often we imagine all monks to wear the beatific smile of the Buddha, but, like any of us, a monk can have a bad day and not look very happy.",Magoosh
310,0,adjective,"appropriate, and matches nicely.",Her dress was becoming and made her look even more beautiful. This word has other definitions but this is the most important one for the GRE.,Magoosh
311,0,verb,to envy someone for possessing or enjoying something.,"Sitting all alone in his room, Harvey begrudged the happiness of the other children playing outside his window.",Magoosh
311,0,verb,to give reluctantly.,We never begrudge money spent on ourselves.,Magoosh
312,0,verb,to be one's duty or obligation.,"The teacher looked down at the student and said, ""It would behoove you to be in class on time and complete your homework, so that you don't repeat freshman English for a third straight year."".",Magoosh
313,0,verb,"lessen the importance, dignity, or reputation of.","A good teacher will never belittle his students, but will instead empower them.",Magoosh
314,0,adjective,warlike; inclined to quarrel.,"Known for their bellicose ways, the Spartans were once the most feared people from Peloponnesus to Persia.",Magoosh
315,0,adjective,kind.,"I remember my grandfather's face was wrinkled, benign, and calm.",Magoosh
315,0,adjective,(medicine) not dangerous to health; not recurrent or progressive.,The tumor located in your ear lobe seems to be benign and should not cause you any trouble.,Magoosh
316,0,verb,"harass, as with questions or requests; cause to feel distressed or worried.","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history.",Magoosh
317,0,verb,damage the good name and reputation of someone.,"The prince's distasteful choice of words besmirched not only his own name, but the reputation of the entire royal family.",Magoosh
318,0,adjective,having a depressing or gloomy outlook.,Unremitting overcast skies tend to lead people to create bleak literature and lugubrious music -- compare England's band Radiohead to any band from Southern California.,Magoosh
319,0,noun,a desirable state.,Modern technology has been a boon to the travel industry.,Magoosh
319,0,adjective,very close and convivial.,"He was a boon companion to many, and will be sadly missed.",Magoosh
320,0,adverb,"in a blunt, direct manner.","Not one for social pleasantries, the Chief of Staff would brusquely ask his subordinates anything he wanted, even coffee.",Magoosh
321,0,verb,resist.,The profits at our firm bucked the general downturn that effected the real estate industry. This word has other definitions but this is the most important one for the GRE.,Magoosh
322,0,verb,make stronger or defensible.,China's economy has been buttressed by a global demand for the electronic parts the country manufactures.,Magoosh
323,0,adjective,emaciated; gaunt.,Some actors take challenging roles in which they have to lose so much weight that they appear cadaverous.,Magoosh
324,0,adjective,a straightforward and honest look at something.,"Even with a perfect stranger, Charles was always candid and would rarely hold anything back.",Magoosh
325,0,noun,the quality of being honest and straightforward in attitude and speech.,"Although I was unhappy that the relationship ended, I appreciated her candidness about why she was ready to move on from the relationship.",Magoosh
326,0,adjective,of primary importance; fundamental.,Most cultures consider gambling a cardinal sin and thus have outlawed its practice. This word has other definitions but this is the most important one for the GRE.,Magoosh
327,0,adjective,persistently petty and unjustified criticism.,What seemed like incessant nagging and carping about my behavior from my mother turned out to be wise and useful advice that has served me well.,Magoosh
328,0,noun,something that speeds up an event.,"Rosa Park's refusal to give up her bus seat acted as a catalyst for the Civil Rights Movement, setting into motion historic changes for African-Americans.",Magoosh
329,0,verb,to examine and remove objectionable material.,"Every fall, high school English teachers are inundated by requests to censor their curriculum by removing The Catcher in the Rye and Scarlet Letter from their reading lists.",Magoosh
330,0,adjective,involving intelligence rather than emotions or instinct.,"A cerebral analysis of most pop music finds it to be simple and childish, but that ignores the point--the music's effect on the listener. This word has other definitions but this is the most important one for the GRE.",Magoosh
331,0,verb,protect or fight for as a champion.,Martin Luther King Jr. championed civil rights fiercely throughout his short life. This word has other definitions but this is the most important one for the GRE.,Magoosh
332,0,noun,a person who believes in the superiority of their group.,"The chauvinist lives on both sides of the political spectrum, outright shunning anybody whose ideas are not consistent with his own.",Magoosh
333,0,verb,to limit (usually modifying the growth of something).,"Deserted for six months, the property began to look more like a jungle and less like a residence--weeds grew unchecked in the front yard. This word has other definitions but this is the most important one for the GRE.",Magoosh
333,0,noun,the condition of being held back or limited.,"When government abuses are not kept in check, that government is likely to become autocratic. This word has other definitions but this is the most important one for the GRE.",Magoosh
334,0,adjective,one that is marked by disreputable happenings.,"One by one, the presidential candidates dropped out of the race, their respective checkered pasts-- from embezzlement to infidelity--sabotaging their campaigns. This word has other definitions but this is the most important one for the GRE.",Magoosh
335,0,adjective,being attentive to women like an ideal knight.,"Marco's chivalrous ways, like opening doors and pulling out chairs, was much appreciated by his date.",Magoosh
336,0,noun,leniency and compassion shown toward offenders by a person or agency charged with administering justice.,"In the final moments of the trial, during his closing speech, Phillips was nearly begging the judge for clemency.",Magoosh
337,0,verb,fuse or cause to grow together.,"Over time, the various tribes coalesced into a single common culture with one universal language.",Magoosh
338,0,adjective,clear and persuasive.,A cogent argument will change the minds of even the most skeptical audience.,Magoosh
339,0,adjective,"well integrated, forming a united whole.","A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument.",Magoosh
340,0,noun,agreement on a secret plot.,"Many have argued that Lee Harvey Oswald, JFK's assassin, was in collusion with other criminals; others maintain that Oswald was a lone gunman.",Magoosh
341,0,adjective,so great in size or force or extent as to elicit awe.,"Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths.",Magoosh
342,0,adjective,worthy of high praise.,The efforts of the firefighters running into the burning building were commendable.,Magoosh
343,0,adjective,contented to a fault with oneself or one's actions.,"After the water polo team won their sixth championship, they became complacent and didn't even make it to the playoffs the next year.",Magoosh
344,0,adjective,enhancing each other's qualities (for two things or more).,"The head waiter was careful to tell the amateur diners that red wine was complementary with beef, each bringing out subtle taste notes in the other.",Magoosh
345,0,verb,"make more intense, stronger, or more marked.","Her headache was compounded by the construction crew outside, which had six jackhammers going at the same time. This word has other definitions but this is the most important one for the GRE.",Magoosh
346,0,adjective,making a situation or outcome more likely to happen.,Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning more difficult.,Magoosh
347,0,verb,taking part in immoral and unethical plots.,"The queen was so conniving that, with the help of the prince, she tried to overthrow the king.",Magoosh
348,0,verb,to make holy or set apart for a high purpose.,"At the church of Notre Dame in France, the new High Altar was consecrated in 1182.",Magoosh
349,0,noun,something that limits or restricts.,He found pop music a constraint on his ability to learn and preferred to listen to classical musical while studying.,Magoosh
350,0,adjective,having or revealing supreme mastery or skill.,"Tyler was the consummate musician: he was able to play the guitar, harmonica, and the drum at the same time. This word has other definitions but this is the most important one for the GRE.",Magoosh
350,0,verb,to make perfect and complete in every respect.,The restoration of the ancient church was only consummated after a twenty years of labor. This word has other definitions but this is the most important one for the GRE.,Magoosh
351,0,adjective,"scornful, looking down at others with a sneering attitude.","Always on the forefront of fashion, Vanessa looked contemptuously at anyone wearing dated clothing.",Magoosh
352,0,adjective,to be remorseful.,"Though he stole his little sister's licorice stick with malevolent glee, Chucky soon became contrite when his sister wouldn't stop crying.",Magoosh
353,0,noun,a difficult problem.,Computers have helped solve some of the mathematical conundrums which have puzzled man for many centuries.,Magoosh
354,0,adjective,describing a lively atmosphere.,The wedding reception was convivial; friends who hadn't seen each other for ages drank and ate together before heading to the dance floor.,Magoosh
355,0,adjective,highly complex or intricate.,"Instead of solving the math problem in three simple steps, Kumar used a convoluted solution requiring fifteen steps.",Magoosh
356,0,noun,an abundant supply of something good.,The International Food Expo was a cornucopia of culinary delights: gourmet foods from every continent were under one roof.,Magoosh
357,0,verb,to confirm or lend support to (usually an idea or claim).,"Her claim that frog populations were falling precipitously in Central America was corroborated by locals, who reported that many species of frogs had seemingly vanished overnight.",Magoosh
358,0,noun,belief in something.,"He placed no credence in psychics, claiming that they offered no special powers beyond the ability to make people part with their money.",Magoosh
359,0,adjective,deserving of praise but not that amazing.,"Critics agreed the movie was creditable, but few gave it more than three out of five stars.",Magoosh
360,0,noun,tendency to believe readily.,Virginia's wide-eyed credulity as a five-year old was replaced by suspicion after she learned that Santa Claus didn't really exist.,Magoosh
361,0,adjective,difficult to handle or use especially because of size or weight.,"Only ten years ago, being an avid reader and a traveler meant carrying a cumbersome backpack stuffed with books--these days we need only an e-reader.",Magoosh
362,0,noun,a lack or shortage.,I am surprised by the dearth of fast food chains; this is America and I assumed they were on every street.,Magoosh
363,0,verb,reduce the quality or value of something.,The third-rate script so debased the film that not even the flawless acting could save it from being a flop.,Magoosh
364,0,verb,"expose as false ideas and claims, especially while ridiculing.","Richard Dawkins tries to debunk religious belief, but his ridicule tends to push people away from his points rather than convince them.",Magoosh
365,0,noun,destroying or killing a large part of the population.,The decimation after atomic bombs were dropped on Hiroshima and Nagasaki is incomprehensible.,Magoosh
366,0,verb,"reduce in worth or character, usually verbally.","Jesse had mockingly pointed out all of Nancy's faults in front of their friends, publicly degrading the poor girl.",Magoosh
367,0,verb,give an assignment to (a person).,"Since the senior manager had to go on many international business trips, she was forced to delegate many of her responsibilities to two lower-level managers. This word has other definitions but this is the most important one for the GRE.",Magoosh
368,0,verb,think about carefully; weigh the pros and cons of an issue.,Emergency situations such as this call for immediate action and leave no room to deliberate over options. This word has other definitions but this is the most important one for the GRE.,Magoosh
369,0,verb,to insult; to cause someone to lose dignity or respect.,"At first the soccer players bantered back and forth, but as soon as one of the players became demeaning, calling the other's mother a water buffalo, the ref whipped out a red card.",Magoosh
370,0,adjective,to be modest and shy.,The portrait of her in a simple white blouse was sweet and demure.,Magoosh
371,0,verb,treat or speak of with contempt.,The nun derided the students for trying to sneak insects and worms into the classroom.,Magoosh
372,0,adjective,abusing vocally; expressing contempt or ridicule.,"I was surprised by her derisive tone; usually, she is sweet, soft spoken, and congenial.",Magoosh
373,0,adjective,expressed as worthless or in negative terms.,Never before have we seen a debate between two political candidates that was so derogative and filthy.,Magoosh
374,0,verb,to willfully violate or destroy a sacred place.,"After desecrating the pharaoh's tomb, the archaeologist soon fell victim to a horrible illness.",Magoosh
375,0,adjective,poor enough to need help from others.,"Jean Valjean, is at first destitute, but through the grace of a priest, he makes something of his life.",Magoosh
376,0,verb,turn away from by persuasion.,"His mother tried to deter him from joing the army, but he was too intoxicated with the idea of war to listen.",Magoosh
376,0,verb,try to prevent; show opposition to.,"The government's primary job should invlove deterring paths to war, not finding ways to start them.",Magoosh
377,0,adjective,"(sometimes followed by ""to"") causing harm or injury.","Many know that smoking is detrimental to your health, but processed sugar in large quantities is equally bad.",Magoosh
378,0,verb,pass on or delegate to another.,"The company was full of managers known for devolving tasks to lower management, but never doing much work themselves.",Magoosh
378,0,verb,"grow worse (usually ""devolve into"").",The dialogue between the two academics devolved into a downright bitter argument.,Magoosh
379,0,adjective,to be extremely wicked like the devil.,"The conspirators, willing to dispatch anyone who stood in their way, hatched a diabolical plan to take over the city.",Magoosh
380,0,verb,"be a distinctive feature, attribute, or trait (sometimes in positive sense).",Mozart's long melodic lines differentiate his compositions from other works of late 18th century music.,Magoosh
380,0,verb,evolve so as to lead to a new species or develop in a way most suited to the environment.,Animals on Madagascar differentiated from other similar animal species due to many years of isolation on the island.,Magoosh
381,0,adjective,in terrible condition.,The main house has been restored but the gazebo is still dilapidated and unuseable.,Magoosh
382,0,adjective,characterized by care and perseverance in carrying out tasks.,"Michael was a diligent gardener, never leaving a leaf on the ground and regularly watering each plant.",Magoosh
383,0,noun,lack of agreement or harmony.,"Despite all their talented players, the team was filled with discord--some players refused to talk to others--and lost most of their games.",Magoosh
384,0,adjective,careful to protect one's speech or actions in order to avoid offense or gain an advantage.,"The professor thought that he was discreet, subtly wiping the stain off of his shirt, but as soon as he stepped off the podium a member of the audience pointed out the large ketchup stain.",Magoosh
385,0,verb,recognize or perceive the difference.,"Sarah couldn't discriminate between a good wine and a bad wine, so she avoided wine tastings. This word has other definitions but this is the most important one for the GRE.",Magoosh
386,0,verb,deprive of voting rights.,The U.S. Constitution disenfranchised women until 1920 when they were given the right to vote.,Magoosh
387,0,adjective,made less hopeful or enthusiastic.,"After the visiting team scored nine times, the home team's fans were disheartened, some leaving the game early.",Magoosh
388,0,adjective,two things are fundamentally different.,"With the advent of machines capable of looking inside the brain, fields as disparate as religion and biology have been brought together by scientists trying to understand what happens in the brain when people have a religious experience.",Magoosh
389,0,noun,the property of being prompt and efficient.,"She finished her thesis with dispatch, amazing her advisors who couldn't believe she hadn't written 60 scholarly pages so quickly. This word has other definitions but this is the most important one for the GRE.",Magoosh
389,0,verb,dispose of rapidly and without delay and efficiently.,"As soon as the angry peasants stormed the castle, they caught the king and swiftly dispatched him. This word has other definitions but this is the most important one for the GRE.",Magoosh
390,0,verb,to pursue relentlessly; to hound.,"Throughout his life, he was dogged by insecurities that inhibited personal growth. This word has other definitions but this is the most important one for the GRE.",Magoosh
391,0,verb,to trick or swindle.,"Once again a get-rich-fast Internt scheme had duped Harold into submitting a $5,000 check to a sham operation.",Magoosh
391,0,noun,a person who is easily tricked or swindled.,"The charlatan mistook the crowd for a bunch of dupes, but the crowd was quickly on to him and decried his bald-faced attempt to bilk them.",Magoosh
392,0,adjective,highly unconventional or usual (usually describes a person).,"Mozart was well-known for his eccentricities, often speaking words backward to confuse those around him.",Magoosh
393,0,noun,a conceited and self-centered person.,"An egotist, Natasha had few friends because of her inability to talk about anything except her dream of becoming the next American Idol.",Magoosh
394,0,verb,"To live off meager resources, to scrape by.","Stranded in a cabin over the winter, Terry was able to eke out an existence on canned food.",Magoosh
395,0,adjective,marked by complexity and richness of detail.,"Thomas, on returning from Morocco, replaced his dirty gray carpet with an elaborate one he'd brought back with him.",Magoosh
395,0,verb,explain in more detail.,"Most high school physics teachers find themselves elaborating the same point over and over again, since many concepts confuse students.",Magoosh
396,0,verb,escape understanding.,Even a basic understanding of physics can elude most high schools students.,Magoosh
397,0,adjective,difficult to capture or difficult to remember.,Many first time skydivers say that describing the act of falling from the sky is elusive.,Magoosh
398,0,verb,"make more attractive by adding ornament, colour, etc.","; make more beautiful McCartney would write relatively straightforward lyrics, and Lennon would embellish them with puns and poetic images.",Magoosh
399,0,adjective,involved in argument or contention.,"These days we are never short of a D.C. politician embroiled in scandal--a welcome phenomenon for those who, having barely finished feasting on the sordid details of one imbroglio, can sink their teeth into a fresh one.",Magoosh
400,0,adjective,showing understanding and ready comprehension of other peoples' states and emotions.,Most discrimination and hatred is based on a lack of empathetic awareness of people that have the same aspitations and fears.,Magoosh
401,0,verb,"strive to equal or match, especially by imitating; compete with successfully.","To really become fluent in a new language, emulate the speech patterns and intonation of people who speak the language.",Magoosh
402,0,adjective,native; originating where it is found.,"Irish cuisine makes great use of potatoes, but ironically, the potato is not endemic to Ireland.",Magoosh
403,0,noun,a state of deep-seated ill-will.,"Charles rude remark toward Sarah yesterday was due to his illness, not due to any real enmity toward Sarah.",Magoosh
404,0,verb,get someone to do something through (often false or exaggerated) promises.,"Harold enticed his wife, Maude, to go on a vacation to Hawaii, with promises of luaus on the beach and all-you-can-eat seafood buffets.",Magoosh
405,0,verb,determine the number or amount of.,The survey enumerates the number of happy workers and the number of unhappy workers.,Magoosh
405,0,verb,"specify individually, one by one.",I sat and listened as she enumerated all of the things she did not like about the past three months.,Magoosh
406,0,verb,to make an error.,"He erred in thinking that ""indigent"" and ""indignant"" were synonyms.",Magoosh
407,0,adjective,to be wandering; not sticking to a circumscribed path.,"Unlike his peers, who spent their hours studying in the library, Matthew preferred errant walks through the university campus.",Magoosh
408,0,adjective,unpredictable; strange and unconventional.,"It came as no surprise to pundits that the President's attempt at re-election floundered; even during his term, support for his policies was erratic, with an approval rating jumping anywhere from 30 to 60 percent.",Magoosh
409,0,noun,a feeling of great (usually exaggerated) elation.,The euphoria of winning her first gold medal in the 100 meter dash overwhelmed Shelly-Ann Fraser and she wept tears of immense joy.,Magoosh
410,0,adjective,avoiding or escaping from difficulty or danger or commitment.,His responses were clearly evasive; he obviously did not want to take on any responsibility or any new work.,Magoosh
410,0,adjective,deliberately vague or ambiguous.,"Every time I call the bank, I receive the same evasive answers about our mortgage and never get a clear response.",Magoosh
411,0,adjective,without partiality.,Teachers often have trouble being evenhanded to all of their varied students.,Magoosh
412,0,verb,to irritate intensely.,"As a child, I exasperated my mother with strings of never-ending questions.",Magoosh
413,0,adjective,extremely painful.,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain.",Magoosh
414,0,verb,be characteristic of.,"Lincoln exemplified the best of not only America, but also the potential greatness that exists within each person.",Magoosh
414,0,verb,clarify by giving an example of.,Please present some case studies that exemplify the results that you claim in your paper.,Magoosh
415,0,verb,to strongly urge on; encourage.,"Nelson's parents exhorted him to study medicine, urging him to choose a respectable profession; intransigent, Nelson left home to become a graffiti artist.",Magoosh
416,0,adjective,making less guilty or more forgivable.,The jury was hardly moved by the man's plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.,Magoosh
417,0,adjective,cleverly amusing in tone.,Facetious behavior will not be tolerated during sex eduation class; it's time for all of you to treat these matters like mature adults.,Magoosh
418,0,verb,try to gain favor by extreme flattery.,"The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions. This word has other definitions but this is the most important one for the GRE.",Magoosh
419,0,verb,to search for something persistently.,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words. This word has other definitions but this is the most important one for the GRE.",Magoosh
420,0,verb,to celebrate a person.,"After World War II, war heroes were feted at first but quickly forgotten.",Magoosh
421,0,adjective,"liable to sudden unpredictable change, esp.","in affections or attachments. She was so fickle in her politics, it was hard to pinpoint her beliefs; one week she would embrace a side, and the next week she would denounce it.",Magoosh
422,0,verb,achieve something by means of trickery or devious methods.,Steven was able to finagle one of the last seats on the train by convincing the conductor that his torn stub was actually a valid ticket.,Magoosh
423,0,verb,to deceive.,Many people have been fleeced by Internet scams and never received their money back. This word has other definitions but this is the most important one for the GRE.,Magoosh
424,0,verb,behave awkwardly; have difficulties.,"Sylvia has excelled at advanced calculus, but ironically, when she has deal with taxes, she flounders.",Magoosh
425,0,adjective,to be in abundance.,"The exam's passage is flush with difficult words, words that you may have learned only yesterday.",Magoosh
426,0,noun,a behavioral attribute that is distinctive and peculiar to an individual.,"When their new roommate sat staring at an oak tree for an hour, Marcia thought it indicated a mental problem, but Jeff assured her it was a harmless foible.",Magoosh
427,0,adjective,marked by defiant disregard for danger or consequences.,"The police regularly face dangerous situations, so for a police officer not to wear his bullet-proof vest is foolhardy.",Magoosh
428,0,adjective,characterized by directness in manner or speech; without subtlety or evasion.,"I did not expect the insurance agent to give us any straight answers, but I was pleasent surprised by how forthright he was.",Magoosh
429,0,adjective,producing no result or effect; unproductive of success.,"I thought I could repair the car myself, but after two days of work with no success, I have to admit that my efforts were futile.",Magoosh
